iter	Passed	Remaining
0	1	187
1	3	160
2	4	149
3	5	143
4	8	152
5	9	150
6	10	145
7	12	145
8	15	152
9	17	154
10	18	150
11	20	147
12	21	143
13	23	141
14	24	138
15	25	136
16	27	133
17	29	133
18	31	132
19	33	132
20	34	131
21	36	128
22	37	126
23	39	124
24	40	122
25	42	120
26	43	118
27	45	115
28	47	115
29	48	113
30	50	111
31	51	109
32	52	107
33	54	105
34	56	104
35	57	102
36	59	100
37	60	98
38	62	97
39	63	95
40	64	93
41	65	89
42	66	87
43	67	86
44	69	84
45	70	83
46	72	81
47	73	79
48	75	78
49	77	77
50	78	75
51	79	73
52	80	71
53	82	70
54	83	68
55	84	66
56	85	64
57	87	63
58	88	61
59	89	59
60	91	58
61	93	57
62	94	55
63	95	53
64	97	52
65	98	50
66	100	49
67	102	48
68	103	46
69	105	45
70	106	43
71	108	42
72	109	40
73	111	39
74	112	37
75	113	35
76	115	34
77	116	32
78	118	31
79	119	29
80	121	28
81	122	26
82	124	25
83	125	23
84	126	22
85	128	20
86	129	19
87	131	17
88	132	16
89	134	14
90	135	13
91	137	11
92	138	10
93	140	8
94	141	7
95	142	5
96	143	4
97	145	2
98	146	1
99	148	0
