iter	Passed	Remaining
0	163	163136
1	164	82321
2	166	55466
3	169	42188
4	172	34426
5	175	29057
6	177	25174
7	179	22272
8	182	20132
9	185	18410
10	190	17127
11	192	15874
12	203	15449
13	206	14545
14	209	13753
15	211	12978
16	212	12289
17	214	11696
18	216	11156
19	217	10642
20	218	10177
21	219	9775
22	221	9390
23	222	9035
24	223	8706
25	224	8410
26	225	8131
27	226	7867
28	228	7645
29	230	7463
30	232	7267
31	233	7067
32	234	6877
33	235	6694
34	237	6552
35	238	6392
36	239	6238
37	240	6093
38	241	5956
39	243	5832
40	244	5718
41	245	5609
42	247	5500
43	248	5396
44	250	5312
45	251	5215
46	252	5115
47	253	5023
48	254	4934
49	255	4846
50	256	4766
51	258	4715
52	260	4650
53	261	4579
54	262	4512
55	263	4446
56	264	4382
57	265	4315
58	266	4250
59	267	4187
60	268	4127
61	268	4069
62	270	4017
63	271	3967
64	272	3916
65	273	3871
66	274	3823
67	275	3774
68	276	3725
69	277	3681
70	277	3636
71	278	3593
72	279	3551
73	280	3510
74	281	3470
75	282	3431
76	283	3394
77	284	3357
78	285	3324
79	286	3293
80	287	3264
81	288	3234
82	289	3198
83	290	3168
84	291	3137
85	292	3107
86	293	3079
87	294	3052
88	295	3023
89	296	2997
90	297	2970
91	298	2942
92	298	2915
93	300	2892
94	301	2867
95	301	2843
96	303	2823
97	304	2800
98	305	2779
99	306	2756
100	307	2734
101	308	2712
102	308	2690
103	309	2669
104	310	2647
105	311	2626
106	312	2610
107	313	2591
108	314	2573
109	315	2555
110	316	2538
111	318	2522
112	319	2505
113	320	2491
114	321	2474
115	322	2457
116	323	2438
117	324	2422
118	325	2407
119	326	2391
120	326	2375
121	327	2357
122	328	2342
123	329	2328
124	330	2314
125	331	2299
126	332	2284
127	333	2274
128	334	2261
129	335	2247
130	336	2235
131	337	2221
132	338	2207
133	339	2193
134	340	2180
135	341	2169
136	342	2157
137	343	2145
138	344	2133
139	345	2121
140	346	2109
141	346	2096
142	348	2087
143	349	2077
144	350	2066
145	351	2054
146	352	2043
147	353	2032
148	353	2020
149	354	2011
150	355	2000
151	356	1990
152	357	1980
153	358	1969
154	359	1959
155	360	1950
156	361	1940
157	362	1933
158	364	1926
159	365	1917
160	365	1906
161	366	1897
162	367	1887
163	368	1877
164	369	1867
165	370	1858
166	371	1850
167	372	1842
168	373	1834
169	374	1827
170	375	1818
171	376	1811
172	377	1803
173	378	1799
174	380	1792
175	381	1787
176	382	1780
177	383	1772
178	385	1766
179	386	1760
180	387	1754
181	388	1748
182	390	1742
183	391	1736
184	393	1732
185	394	1725
186	395	1720
187	396	1713
188	397	1706
189	398	1699
190	399	1692
191	400	1687
192	402	1682
193	403	1676
194	404	1669
195	405	1662
196	406	1656
197	407	1651
198	408	1646
199	410	1641
200	411	1635
201	412	1629
202	413	1622
203	414	1616
204	415	1610
205	416	1604
206	417	1598
207	418	1593
208	419	1586
209	420	1580
210	421	1575
211	422	1570
212	423	1565
213	424	1560
214	425	1555
215	426	1549
216	427	1543
217	428	1537
218	429	1531
219	430	1525
220	431	1520
221	432	1515
222	433	1509
223	434	1503
224	435	1498
225	436	1493
226	437	1488
227	438	1484
228	439	1480
229	441	1476
230	442	1471
231	443	1466
232	444	1462
233	445	1456
234	446	1452
235	447	1447
236	448	1442
237	449	1437
238	449	1432
239	450	1427
240	451	1422
241	453	1419
242	454	1415
243	455	1411
244	456	1406
245	457	1402
246	458	1397
247	459	1392
248	460	1387
249	461	1383
250	462	1379
251	463	1374
252	464	1370
253	464	1365
254	465	1361
255	466	1356
256	467	1352
257	469	1349
258	470	1346
259	471	1341
260	472	1337
261	473	1333
262	474	1328
263	475	1324
264	476	1320
265	477	1316
266	478	1313
267	479	1308
268	479	1304
269	481	1300
270	481	1296
271	483	1293
272	484	1289
273	485	1286
274	486	1282
275	487	1278
276	488	1274
277	489	1270
278	490	1266
279	491	1262
280	492	1259
281	493	1255
282	494	1251
283	495	1248
284	495	1244
285	496	1240
286	498	1239
287	500	1236
288	501	1233
289	502	1230
290	503	1227
291	504	1223
292	505	1220
293	506	1216
294	507	1213
295	509	1210
296	510	1207
297	511	1205
298	514	1205
299	515	1202
300	516	1200
301	517	1196
302	518	1193
303	520	1190
304	521	1187
305	522	1183
306	522	1180
307	523	1176
308	524	1173
309	525	1169
310	526	1166
311	527	1163
312	529	1161
313	530	1158
314	531	1155
315	532	1152
316	533	1149
317	534	1146
318	535	1143
319	536	1140
320	537	1136
321	538	1133
322	539	1130
323	540	1127
324	541	1124
325	542	1121
326	544	1119
327	545	1117
328	546	1114
329	547	1111
330	548	1108
331	549	1105
332	550	1101
333	551	1099
334	552	1096
335	553	1093
336	554	1091
337	555	1087
338	556	1084
339	557	1082
340	559	1080
341	560	1078
342	561	1075
343	562	1072
344	563	1069
345	564	1066
346	565	1063
347	566	1061
348	567	1059
349	568	1056
350	569	1053
351	570	1050
352	571	1047
353	573	1045
354	576	1046
355	576	1043
356	577	1040
357	578	1037
358	579	1035
359	580	1032
360	582	1030
361	583	1027
362	584	1024
363	584	1022
